city,year,arrests,population
"New York, New York",1893,86488,1675890
"Philadelphia, Pennsylvania",1893,57297,1120984
"Brooklyn, New York",1893,40349,914415
"Chicago, Illinois",1893,96976,1279468
"Boston, Massachusetts",1893,46109,482202
"St. Louis, Missouri",1893,25280,488810
"Baltimore, Maryland",1893,31363,456794
"Cincinnati, Ohio",1893,20708,305606
"San Francisco, California",1893,26982,312133
"New Orleans, Louisiana",1893,23228,255558
"Cleveland, Ohio",1893,9368,297478
"Buffalo, New York",1893,NA,284681
"Washington, DC",1893,27245,215686
"Newark, New Jersey",1893,6605,200542
"Louisville, Kentucky",1893,7079,175209
"Detroit, Michigan",1893,8586,229824
"Milwaukee, Wisconsin",1893,6219,228722
"Providence, Rhode Island",1893,7105,145181
"Rochester, New York",1893,NA,142510
"Pittsburgh, Pennsylvania",1893,15189,263307
"Richmond, Virginia",1893,6070,82486
"New Haven, Connecticut",1893,6541,92640
"Lowell, Massachusetts",1893,5635,82878
"New York, New York",1894,98296,1725420
"Philadelphia, Pennsylvania",1894,61478,1145657
"Brooklyn, New York",1894,43275,950439
"Chicago, Illinois",1894,88323,1339340
"Boston, Massachusetts",1894,42035,493443
"St. Louis, Missouri",1894,25033,501157
"Baltimore, Maryland",1894,32136,464246
"Cincinnati, Ohio",1894,20314,308506
"San Francisco, California",1894,25824,316511
"New Orleans, Louisiana",1894,25819,260065
"Cleveland, Ohio",1894,9751,309519
"Buffalo, New York",1894,NA,294353
"Washington, DC",1894,24323,224846
"Newark, New Jersey",1894,6969,207246
"Louisville, Kentucky",1894,8390,179569
"Detroit, Michigan",1894,11762,237807
"Milwaukee, Wisconsin",1894,5943,236807
"Providence, Rhode Island",1894,6548,149526
"Rochester, New York",1894,NA,145381
"Pittsburgh, Pennsylvania",1894,13762,271537
"Richmond, Virginia",1894,5964,82852
"New Haven, Connecticut",1894,6314,94838
"Lowell, Massachusetts",1894,4831,84605
"New York, New York",1895,112997,1782950
"Philadelphia, Pennsylvania",1895,60347,1170330
"Brooklyn, New York",1895,44917,986463
"Chicago, Illinois",1895,83464,1399212
"Boston, Massachusetts",1895,42534,504684
"St. Louis, Missouri",1895,24793,513504
"Baltimore, Maryland",1895,30193,471698
"Cincinnati, Ohio",1895,18606,311405
"San Francisco, California",1895,25960,320890
"New Orleans, Louisiana",1895,22641,264572
"Cleveland, Ohio",1895,11006,321560
"Buffalo, New York",1895,NA,304026
"Washington, DC",1895,23104,233825
"Newark, New Jersey",1895,7174,213550
"Louisville, Kentucky",1895,6111,183929
"Detroit, Michigan",1895,8102,245790
"Milwaukee, Wisconsin",1895,5582,244892
"Providence, Rhode Island",1895,7117,149971
"Rochester, New York",1895,NA,148252
"Pittsburgh, Pennsylvania",1895,14737,279767
"Richmond, Virginia",1895,5412,83218
"New Haven, Connecticut",1895,6202,97036
"Lowell, Massachusetts",1895,5879,86332
"New York, New York",1896,110979,1836480
"Philadelphia, Pennsylvania",1896,58072,1195004
"Brooklyn, New York",1896,38692,1022487
"Chicago, Illinois",1896,96847,1459085
"Boston, Massachusetts",1896,48796,515926
"St. Louis, Missouri",1896,27695,525851
"Baltimore, Maryland",1896,31248,479150
"Cincinnati, Ohio",1896,16480,314304
"San Francisco, California",1896,30462,325268
"New Orleans, Louisiana",1896,24261,269078
"Cleveland, Ohio",1896,10717,333602
"Buffalo, New York",1896,NA,313698
"Washington, DC",1896,22562,242804
"Newark, New Jersey",1896,7156,220054
