"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-11",,,,"0.02","0.0","0.0","80","54","76",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-12",,,,"0.00","0.0","0.0","82","50","82",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-13",,,,"0.00","0.0","0.0","83","53","81",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-14",,,,"0.00","0.0","0.0","85","58","84",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-15",,,,"0.00","0.0","0.0",,,,,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-16",,,,"0.64","0.0","0.0","84","60","68",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-17",,,,"0.00","0.0","0.0","76","61","74",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-18",,,,"0.20","0.0","0.0","82","65","74",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-19",,,,"0.00","0.0","0.0","82","53","66",,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2000-07-20",,,,"0.00","0.0","0.0","77","48","52",,,,,
